,x,y
923,46975.0,46692.29
924,46800.15,46120.0
925,46408.0,46178.77
926,46450.0,46120.03
927,46374.45,46084.69
928,46430.21,46188.58
929,46491.93,46296.37
930,46433.84,46306.42
931,46400.0,46153.28
932,46515.53,46012.8
933,46327.81,45898.0
934,46233.36,45949.99
935,46241.1,46039.33
936,46250.0,45996.01
937,46144.01,45922.01
938,46184.57,45976.0
939,46087.44,45934.26
940,46110.0,45858.0
941,46138.0,45898.0
942,46209.98,46010.17
943,46366.0,46181.51
944,46346.37,46100.82
945,46144.45,45900.0
946,46024.89,45742.49
947,46008.19,45749.53
948,45886.0,45632.0
949,45896.52,45537.37
950,46076.34,45560.24
951,46032.75,45841.1
952,46133.33,45864.29
953,46232.0,45986.52
954,46267.0,45941.61
955,46109.0,45921.37
956,46017.03,45667.47
957,45944.12,45732.68
958,45852.0,45573.44
959,45899.42,45637.57
960,45904.66,45250.01
961,45459.28,44651.1
962,44950.0,44333.44
963,44675.88,43814.02
964,44197.23,43212.0
965,43774.0,43278.0
966,43836.88,43389.91
967,43925.23,43250.0
968,43638.87,43315.09
969,43710.02,43274.68
970,43720.0,43459.42
971,43838.95,43401.64
972,43981.1,43628.57
973,43861.1,43603.7
974,43683.99,43213.73
975,43458.0,41500.0
976,42563.67,41900.04
977,42958.0,42481.1
978,42938.51,42705.88
979,42997.29,42766.45
980,42913.67,42780.0
981,42891.09,42514.89
982,42859.94,42541.86
983,42853.75,42582.01
984,42816.56,42525.16
985,42618.3,42437.62
986,42682.0,42436.12
987,42809.17,42555.84
988,42850.0,42731.1
989,42996.14,42769.63
990,43138.0,42910.01
991,43185.0,43032.31
992,43150.0,42950.64
993,43254.03,43088.0
994,43183.86,43064.83
995,43254.96,43102.96
996,43247.77,43063.72
997,43193.46,42887.0
998,43050.44,42819.31
999,42923.21,42627.63
